min_points,window_days,step_days,n_windows_rank1,n_fit_points,n_inliers,inlier_fraction,rmse_inlier,wrmse_inlier,r2_inlier,slope_days_per_day,intercept_days
200,3500.0,2600.0,4,4,4,1.0,45.06063366749466,44.72448600910823,0.9680055936050087,0.08764118023190424,648.3978922787245
250,3500.0,2600.0,4,4,4,1.0,45.06063366749466,44.72448600910823,0.9680055936050087,0.08764118023190424,648.3978922787245
300,3500.0,2600.0,4,4,4,1.0,45.06063366749466,44.72448600910823,0.9680055936050087,0.08764118023190424,648.3978922787245
350,3500.0,2600.0,4,4,4,1.0,45.06063366749466,44.72448600910823,0.9680055936050087,0.08764118023190424,648.3978922787245
400,3500.0,2600.0,4,4,4,1.0,45.06063366749466,44.72448600910823,0.9680055936050087,0.08764118023190424,648.3978922787245
450,3500.0,2600.0,4,4,4,1.0,45.06063366749466,44.72448600910823,0.9680055936050087,0.08764118023190424,648.3978922787245
500,3500.0,2600.0,4,4,4,1.0,45.06063366749466,44.72448600910823,0.9680055936050087,0.08764118023190424,648.3978922787245
50,2700.0,3300.0,4,4,4,1.0,51.01368188298824,48.611039546058564,0.7123899154411117,-0.02360937253484434,892.5078740407862
100,2700.0,3300.0,4,4,4,1.0,51.01368188298824,48.611039546058564,0.7123899154411117,-0.02360937253484434,892.5078740407862
150,2700.0,3300.0,4,4,4,1.0,51.01368188298824,48.611039546058564,0.7123899154411117,-0.02360937253484434,892.5078740407862
50,2500.0,2500.0,5,5,4,0.8,25.78028490670434,22.830282965525683,0.768838913708865,0.012719449323401513,605.9685988637111
100,2500.0,2500.0,5,5,4,0.8,25.78028490670434,22.830282965525683,0.768838913708865,0.012719449323401513,605.9685988637111
50,2600.0,2600.0,5,5,4,0.8,27.337791101100663,32.68961517427248,0.9936367056737951,0.1175189421578244,839.800013875467
50,2600.0,2500.0,5,5,4,0.8,41.27975118137187,37.291225212972705,0.9746674494236977,0.09160745705593036,750.7504877576321
100,2600.0,2500.0,5,5,4,0.8,41.27975118137187,37.291225212972705,0.9746674494236977,0.09160745705593036,750.7504877576321
50,3500.0,2600.0,5,5,4,0.8,45.06063366749466,44.72448600910823,0.9680055936050087,0.08764118023190424,736.4264531003424
50,3500.0,2500.0,5,5,4,0.8,49.46988482224666,49.76596450418865,0.9652195708103675,0.09422012211348638,757.4150692467724
100,3500.0,2500.0,5,5,4,0.8,49.46988482224666,49.76596450418865,0.9652195708103675,0.09422012211348638,757.4150692467724
50,3300.0,3000.0,4,4,3,0.75,0.4801864597001455,0.5073189147986464,0.9999593004179425,-0.021588890620346284,922.1089653908492
100,3300.0,3000.0,4,4,3,0.75,0.4801864597001455,0.5073189147986464,0.9999593004179425,-0.021588890620346284,922.1089653908492
150,3300.0,3000.0,4,4,3,0.75,0.4801864597001455,0.5073189147986464,0.9999593004179425,-0.021588890620346284,922.1089653908492
200,3300.0,3000.0,4,4,3,0.75,0.4801864597001455,0.5073189147986464,0.9999593004179425,-0.021588890620346284,922.1089653908492
250,3300.0,3000.0,4,4,3,0.75,0.4801864597001455,0.5073189147986464,0.9999593004179425,-0.021588890620346284,922.1089653908492
300,3300.0,3000.0,4,4,3,0.75,0.4801864597001455,0.5073189147986464,0.9999593004179425,-0.021588890620346284,922.1089653908492
350,3300.0,3000.0,4,4,3,0.75,0.4801864597001455,0.5073189147986464,0.9999593004179425,-0.021588890620346284,922.1089653908492
