first_gap,gap_step,window_total,n_target_peaks,n_matched,frac_matched,total_abs_centre_residual,rms_centre_residual,mean_abs_centre_residual,anchor_mjd
659.0,26.0,200.0,7,4,0.5714285714285714,165.0,48.41745553000488,41.25,50014.067
659.0,26.0,250.0,7,4,0.5714285714285714,165.0,48.41745553000488,41.25,50014.067
668.0,25.0,250.0,7,4,0.5714285714285714,166.0,56.45352070508977,41.5,50014.067
658.0,26.0,150.0,7,4,0.5714285714285714,168.0,48.015622457696,42.0,50014.067
658.0,26.0,200.0,7,4,0.5714285714285714,168.0,48.015622457696,42.0,50014.067
658.0,26.0,250.0,7,4,0.5714285714285714,168.0,48.015622457696,42.0,50014.067
661.0,26.0,200.0,7,4,0.5714285714285714,169.0,52.55711179279166,42.25,50014.067
661.0,26.0,250.0,7,4,0.5714285714285714,169.0,52.55711179279166,42.25,50014.067
667.0,19.0,200.0,7,4,0.5714285714285714,170.0,47.7964433823271,42.5,50014.067
667.0,19.0,250.0,7,4,0.5714285714285714,170.0,47.7964433823271,42.5,50014.067
660.0,21.0,150.0,7,4,0.5714285714285714,171.0,45.34589286804263,42.75,50014.067
660.0,21.0,200.0,7,4,0.5714285714285714,171.0,45.34589286804263,42.75,50014.067
660.0,21.0,250.0,7,4,0.5714285714285714,171.0,45.34589286804263,42.75,50014.067
662.0,23.0,150.0,7,4,0.5714285714285714,171.0,47.01329599166602,42.75,50014.067
657.0,26.0,200.0,7,4,0.5714285714285714,171.0,48.78780585351221,42.75,50014.067
657.0,26.0,250.0,7,4,0.5714285714285714,171.0,48.78780585351221,42.75,50014.067
653.0,23.0,150.0,7,4,0.5714285714285714,172.0,47.89050010179472,43.0,50014.067
653.0,23.0,200.0,7,4,0.5714285714285714,172.0,47.89050010179472,43.0,50014.067
653.0,23.0,250.0,7,4,0.5714285714285714,172.0,47.89050010179472,43.0,50014.067
656.0,24.0,150.0,7,4,0.5714285714285714,173.0,43.75785643744447,43.25,50014.067
656.0,24.0,200.0,7,4,0.5714285714285714,173.0,43.75785643744447,43.25,50014.067
669.0,25.0,250.0,7,4,0.5714285714285714,173.0,62.142980295444474,43.25,50014.067
