lag_days,r,err,p_local,n_pairs,corr_method,shuffle_method,pc_column,p_global,p_zero_local,p_zero_global,segment_id,segment_label,segment_start,segment_end,segment_center,n_spin_points,n_pc_points
160.0,-0.32660369821547774,0.23561582446746226,0.16783216783216784,840,spearman,circular,PC1,0.34865134865134867,0.7612387612387612,1.0,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
180.0,-0.24650633721071316,0.2417172566533115,0.36163836163836166,820,spearman,circular,PC1,0.34865134865134867,0.7612387612387612,1.0,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
200.0,-0.1669032920363938,0.24702763792754992,0.5594405594405595,800,spearman,circular,PC1,0.34865134865134867,0.7612387612387612,1.0,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
-200.0,-0.2170878389228024,0.031087897173043208,0.000999000999000999,1000,pearson,permute,PC1,0.000999000999000999,0.000999000999000999,0.000999000999000999,2,seg02_50995.1_51995.1,50995.067,51995.067,51495.067,1000,1401
-180.0,-0.3604090937278053,0.031111962480181533,0.000999000999000999,1000,pearson,permute,PC1,0.000999000999000999,0.000999000999000999,0.000999000999000999,2,seg02_50995.1_51995.1,50995.067,51995.067,51495.067,1000,1401
-160.0,-0.38955612888982805,0.03031237841912354,0.000999000999000999,1000,pearson,permute,PC1,0.000999000999000999,0.000999000999000999,0.000999000999000999,2,seg02_50995.1_51995.1,50995.067,51995.067,51495.067,1000,1401
-140.0,-0.3015826780921519,0.030120905808983866,0.000999000999000999,1000,pearson,permute,PC1,0.000999000999000999,0.000999000999000999,0.000999000999000999,2,seg02_50995.1_51995.1,50995.067,51995.067,51495.067,1000,1401
-120.0,-0.16487669817599054,0.030034573779724665,0.000999000999000999,1000,pearson,permute,PC1,0.000999000999000999,0.000999000999000999,0.000999000999000999,2,seg02_50995.1_51995.1,50995.067,51995.067,51495.067,1000,1401
-100.0,-0.02334525438979359,0.029813315267648965,0.4325674325674326,1000,pearson,permute,PC1,0.000999000999000999,0.000999000999000999,0.000999000999000999,2,seg02_50995.1_51995.1,50995.067,51995.067,51495.067,1000,1401
-80.0,0.04245405397913383,0.03048313340887979,0.17082917082917082,1000,pearson,permute,PC1,0.000999000999000999,0.000999000999000999,0.000999000999000999,2,seg02_50995.1_51995.1,50995.067,51995.067,51495.067,1000,1401
-60.0,-0.03893475516179838,0.030714766192073653,0.2087912087912088,1000,pearson,permute,PC1,0.000999000999000999,0.000999000999000999,0.000999000999000999,2,seg02_50995.1_51995.1,50995.067,51995.067,51495.067,1000,1401
