MJD,PC1,PC2,PC3,dataset
51970.761,1.4488319025152725,-0.045661919593242645,-0.4872360971035238,AFB
51980.655,0.6464289120874555,0.4545252761924292,-1.4637867804574016,AFB
52080.74,2.431089546044631,-0.49261957737091033,1.115598648455818,AFB
52081.652,2.564794197076968,-0.5343115630715939,1.227903809705497,AFB
52084.644,2.7646982241130584,-0.6401580791426249,0.8788887672396724,AFB
52085.642,2.800645251462161,-0.6930814811164483,0.6194959330145372,AFB
52087.638,2.794483499066498,-0.6776407390149604,0.5271957498492945,AFB
52088.636,2.767876428449938,-0.6472348685527711,0.473408282960101,AFB
52092.623,3.146443584394228,-0.24945672724693302,-0.08696318669229258,AFB
52093.596,3.193998316023195,-0.2628651879325905,0.08361495443635139,AFB
52094.617,3.19550291570592,-0.2575415929986381,0.1485963371972075,AFB
52095.616,3.1518993237253388,-0.31301919428817243,0.19116920234767282,AFB
52102.597,2.858813240094927,-0.2909660048593956,-0.28612490215246233,AFB
52109.611,2.707447256822557,-0.12164452857027107,-0.5085402692029586,AFB
52110.574,2.6849500097568186,-0.06771277616613518,-0.5087837287980045,AFB
52114.564,2.3734571376859,-0.039895497338704664,-0.18805830390169254,AFB
52115.561,2.2340076228630723,-0.09496908292610119,0.09068862673131042,AFB
52116.558,2.091758232862065,-0.09563283810794695,0.2991001432631952,AFB
52117.555,1.9656039776193597,-0.09542747705633346,0.5257733121507876,AFB
52122.54,1.3227700266333997,0.05875061742260681,0.9723216172258196,AFB
52123.537,1.1704598405365951,0.0627749887682769,0.9440510712784842,AFB
52124.536,1.0643032829696324,0.15402710180936466,0.8733332293880307,AFB
52128.539,0.6191975760150686,0.09226371910589153,0.410823846223722,AFB
52129.521,0.5910594834193225,0.011526718802821818,0.5731347307303611,AFB
52131.516,0.572017930282483,-0.02108878468672929,0.48558109145281303,AFB
52135.505,0.756540777120998,-0.48269427728282993,0.8281724755693262,AFB
52137.5,0.5608144245368416,-0.42175783809218154,0.8577646937441279,AFB
52138.497,0.4574378807024248,-0.3862105309750284,0.8438566518278657,AFB
52153.456,-0.28881873094171434,-0.3552661217512243,1.139239619056673,AFB
52154.453,-0.2933502340078829,-0.2790750525867199,1.0386776976983363,AFB
52157.446,-0.1097005811018909,-0.18356148340349565,0.621059866626857,AFB
52158.446,0.007450247510565394,-0.21066301280679675,0.8270676092517149,AFB
52159.44,0.11017190224131607,-0.16938859228157088,0.9958208852720939,AFB
52173.401,-0.04245298785472152,-0.6250143081987412,0.669971498915603,AFB
52179.386,0.03588598831384465,-0.36731820730523435,1.1851391299872525,AFB
